mailbox_user1@domain.com,password,mailbox_user2@domain.com
mailbox_user2@domain.com,password,mailbox_user3@domain.com
mailbox_user3@domain.com,password,mailbox_user4@domain.com
mailbox_user4@domain.com,password,mailbox_user5@domain.com
mailbox_user5@domain.com,password,mailbox_user6@domain.com
mailbox_user6@domain.com,password,mailbox_user7@domain.com
mailbox_user7@domain.com,password,mailbox_user8@domain.com
mailbox_user8@domain.com,password,mailbox_user9@domain.com
mailbox_user9@domain.com,password,mailbox_user10@domain.com
mailbox_user10@domain.com,password,mailbox_user11@domain.com
mailbox_user11@domain.com,password,mailbox_user12@domain.com
mailbox_user12@domain.com,password,mailbox_user13@domain.com
mailbox_user13@domain.com,password,mailbox_user14@domain.com
mailbox_user14@domain.com,password,mailbox_user15@domain.com
mailbox_user15@domain.com,password,mailbox_user16@domain.com
mailbox_user16@domain.com,password,mailbox_user17@domain.com
mailbox_user17@domain.com,password,mailbox_user18@domain.com
mailbox_user18@domain.com,password,mailbox_user19@domain.com
mailbox_user19@domain.com,password,mailbox_user20@domain.com
mailbox_user20@domain.com,password,mailbox_user21@domain.com
mailbox_user21@domain.com,password,mailbox_user22@domain.com
mailbox_user22@domain.com,password,mailbox_user23@domain.com
mailbox_user23@domain.com,password,mailbox_user24@domain.com
mailbox_user24@domain.com,password,mailbox_user25@domain.com
mailbox_user25@domain.com,password,mailbox_user26@domain.com
mailbox_user26@domain.com,password,mailbox_user27@domain.com
mailbox_user27@domain.com,password,mailbox_user28@domain.com
mailbox_user28@domain.com,password,mailbox_user29@domain.com
mailbox_user29@domain.com,password,mailbox_user30@domain.com
mailbox_user30@domain.com,password,mailbox_user31@domain.com
mailbox_user31@domain.com,password,mailbox_user32@domain.com
mailbox_user32@domain.com,password,mailbox_user33@domain.com
mailbox_user33@domain.com,password,mailbox_user34@domain.com
mailbox_user34@domain.com,password,mailbox_user35@domain.com
mailbox_user35@domain.com,password,mailbox_user36@domain.com
mailbox_user36@domain.com,password,mailbox_user37@domain.com
mailbox_user37@domain.com,password,mailbox_user38@domain.com
mailbox_user38@domain.com,password,mailbox_user39@domain.com
mailbox_user39@domain.com,password,mailbox_user40@domain.com
mailbox_user40@domain.com,password,mailbox_user41@domain.com
mailbox_user41@domain.com,password,mailbox_user42@domain.com
mailbox_user42@domain.com,password,mailbox_user43@domain.com
mailbox_user43@domain.com,password,mailbox_user44@domain.com
mailbox_user44@domain.com,password,mailbox_user45@domain.com
mailbox_user45@domain.com,password,mailbox_user46@domain.com
mailbox_user46@domain.com,password,mailbox_user47@domain.com
mailbox_user47@domain.com,password,mailbox_user48@domain.com
mailbox_user48@domain.com,password,mailbox_user49@domain.com
mailbox_user49@domain.com,password,mailbox_user50@domain.com
mailbox_user50@domain.com,password,mailbox_user51@domain.com
mailbox_user51@domain.com,password,mailbox_user52@domain.com
mailbox_user52@domain.com,password,mailbox_user53@domain.com
mailbox_user53@domain.com,password,mailbox_user54@domain.com
mailbox_user54@domain.com,password,mailbox_user55@domain.com
mailbox_user55@domain.com,password,mailbox_user56@domain.com
mailbox_user56@domain.com,password,mailbox_user57@domain.com
