FROM_USER,TO_USER,x-acting-profile,file_id
user1@perf-machine-1.zimbradev.com,user2@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a67b
user1@perf-machine-1.zimbradev.com,user3@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a6a0
user1@perf-machine-1.zimbradev.com,user4@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a6c5
user1@perf-machine-1.zimbradev.com,user5@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a6ea
user1@perf-machine-1.zimbradev.com,user6@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a70f
user1@perf-machine-1.zimbradev.com,user7@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a734
user1@perf-machine-1.zimbradev.com,user8@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a759
user1@perf-machine-1.zimbradev.com,user9@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a77e
user1@perf-machine-1.zimbradev.com,user10@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a7a3
user1@perf-machine-1.zimbradev.com,user11@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a7c8
user1@perf-machine-1.zimbradev.com,user12@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcb42c8182d11c1a7ed
user1@perf-machine-1.zimbradev.com,user13@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a812
user1@perf-machine-1.zimbradev.com,user14@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a837
user1@perf-machine-1.zimbradev.com,user15@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a85c
user1@perf-machine-1.zimbradev.com,user16@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a881
user1@perf-machine-1.zimbradev.com,user17@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a8a6
user1@perf-machine-1.zimbradev.com,user18@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a8cb
user1@perf-machine-1.zimbradev.com,user19@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a8f0
user1@perf-machine-1.zimbradev.com,user20@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a915
user1@perf-machine-1.zimbradev.com,user21@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a93a
user1@perf-machine-1.zimbradev.com,user22@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a95f
user1@perf-machine-1.zimbradev.com,user23@perf-machine-1.zimbradev.com,650454fd42c8182d11be1c0b,6507cdcc42c8182d11c1a984
